	Model 1	Model 2	Model 3	Model 4	Model 5
(Intercept)	8.91999***	7.63537***	8.08009***	8.21009***	10.33394***
	(0.09354)	(0.10212)	(0.18648)	(0.32435)	(0.34127)
Air_Mean	-0.00478***	-0.00255***	-0.00178***	-0.00274***	-0.00332***
	(0.00014)	(0.00015)	(0.00028)	(0.00047)	(0.00058)
FIN_SQ_FT	0.00032***	0.00033***	0.00034***	0.00033***	0.00037***
	(0.00000)	(0.00000)	(0.00000)	(0.00001)	(0.00001)
ACRES_POLY	0.14421***	0.21623***	0.10561***	0.09144**	0.07506
	(0.01125)	(0.01189)	(0.02124)	(0.03339)	(0.04165)
OWNOCC	0.01209***	0.02449***			
	(0.00274)	(0.00262)			
YEAR_BUILT	0.00122***	0.00163***	0.00148***	0.00090***	0.00036*
	(0.00005)	(0.00005)	(0.00009)	(0.00015)	(0.00017)
PercU18	0.00015	0.00023	0.00061**	0.00028	-0.00003
	(0.00013)	(0.00012)	(0.00023)	(0.00038)	(0.00047)
PercWhite	0.00348***	0.00372***	0.00300***	0.00375***	0.00393***
	(0.00007)	(0.00007)	(0.00013)	(0.00023)	(0.00026)
MED_INCOME	0.00000***	0.00000***	0.00000***	0.00000***	0.00000***
	(0.00000)	(0.00000)	(0.00000)	(0.00000)	(0.00000)
MCA3	0.00106***	0.00082***	0.00116***	0.00369***	0.00013
	(0.00011)	(0.00010)	(0.00030)	(0.00048)	(0.00017)
CBD_dist	-0.00001***	0.00001***	-0.00000***	-0.00000***	-0.00000***
	(0.00000)	(0.00000)	(0.00000)	(0.00000)	(0.00000)
LAKE_dist	0.00003***	0.00003***	0.00003***	0.00001*	0.00003***
	(0.00000)	(0.00000)	(0.00000)	(0.00001)	(0.00001)
PARK_dist	0.00000**	0.00000	-0.00000	0.00000*	0.00000
	(0.00000)	(0.00000)	(0.00000)	(0.00000)	(0.00000)
SHOP_dist	0.00001***	-0.00000	0.00000*	0.00000	0.00000
	(0.00000)	(0.00000)	(0.00000)	(0.00000)	(0.00000)
factor(SALE_YR): 2006/2005	0.00728*	0.00865**			
	(0.00284)	(0.00269)			
factor(SALE_YR): 2007/2005	-0.02174***	-0.02155***			
	(0.00312)	(0.00295)			
factor(SALE_YR): 2008/2005	-0.12253***	-0.12938***			
	(0.00331)	(0.00313)			
